congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.353,0.459,-157.1292,0.78729,657,64,,0.52,0.346
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.391,0.402,-26.12086,0.96165,668,11,,-0.435,0.395
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.361,0.656,-86.63883,0.87539,651,30,,0.341,0.671
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.647,-0.446,-124.8125,0.83321,684,50,,0.776,-0.367
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.611,0.244,-101.01973,0.84965,620,40,,0.709,0.165
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.71,-0.047,-96.21326,0.86949,688,41,,0.665,0.062
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.367,0.595,-104.20388,0.85313,656,37,,0.437,0.684
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.021,-200.70636,0.73981,666,74,,0.348,0.055
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.256,-20.80602,0.96845,649,8,,-0.578,-0.613
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.163,-0.006,-40.94316,0.93329,593,17,,-0.362,0.422
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.676,-0.419,-111.88885,0.84186,650,44,,0.919,-0.395
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.59,-0.324,-186.75194,0.76228,688,88,,0.517,-0.305
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.452,-0.02,-17.53665,0.97447,678,9,,-0.454,0.018
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.882,-0.471,-89.89788,0.87548,676,29,,1.0,-0.03
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.185,0.151,-39.69828,0.94361,684,14,,-0.338,0.437
